年月日,平均気温(℃),最高気温(℃),最低気温(℃)
2020/7/17,23.9,27.5,22.1
2020/7/18,25.9,30.7,22.7
2020/7/19,27.8,32.8,24.7
2020/7/20,29.0,33.4,25.3
2020/7/21,30.0,34.4,26.5
2020/7/22,28.8,33.2,25.7
2020/7/23,27.3,29.3,25.3
2020/7/24,26.3,30.3,24.0
2020/7/25,24.9,28.0,22.9
2020/7/26,24.8,27.2,23.4
2020/7/27,26.6,30.7,23.0
2020/7/28,28.0,32.0,25.8
2020/7/29,28.5,32.9,26.1
2020/7/30,27.8,33.5,25.9
2020/7/31,28.2,33.1,25.1
2020/8/1,28.9,33.8,24.4
2020/8/2,29.2,33.9,26.2
2020/8/3,29.0,33.5,26.3
2020/8/4,29.6,34.7,26.5
2020/8/5,29.8,33.9,26.0
2020/8/6,29.5,34.1,26.5
2020/8/7,29.8,33.6,27.4
2020/8/8,30.2,33.6,27.7
2020/8/9,30.9,34.8,27.9
2020/8/10,32.0,37.1,28.5
2020/8/11,31.5,35.4,29.7
2020/8/12,31.2,35.3,27.8
2020/8/13,31.1,34.5,28.8
2020/8/14,31.6,35.9,28.0
2020/8/15,32.3,36.6,28.7
2020/8/16,32.8,37.7,28.2
2020/8/17,32.4,37.1,28.5
2020/8/18,31.5,37.1,28.2
2020/8/19,31.1,37.4,26.4
2020/8/20,32.0,37.4,28.6
2020/8/21,31.8,38.6,25.1
2020/8/22,29.8,37.4,26.4
2020/8/23,30.0,35.8,25.2
2020/8/24,30.6,35.7,27.8
2020/8/25,30.6,36.0,27.5
2020/8/26,30.9,37.0,26.7
2020/8/27,28.7,35.4,26.3
2020/8/28,29.3,33.4,25.9
2020/8/29,30.4,36.7,25.5
2020/8/30,30.7,37.0,26.7
2020/8/31,31.1,37.6,26.5
2020/9/1,29.9,35.6,27.0
2020/9/2,29.5,34.8,27.4
2020/9/3,30.2,32.8,28.4
2020/9/4,28.4,32.2,25.8
2020/9/5,29.2,35.9,25.6
2020/9/6,27.7,34.0,24.7
2020/9/7,28.4,32.7,25.0
2020/9/8,29.0,33.2,26.2
2020/9/9,25.2,28.0,24.0
2020/9/10,25.3,29.6,22.5
2020/9/11,26.9,30.3,24.2
2020/9/12,29.0,33.7,24.9
2020/9/13,26.6,29.2,23.5
2020/9/14,24.1,27.9,21.7
2020/9/15,24.8,30.2,20.0
2020/9/16,25.7,29.7,22.7
2020/9/17,27.9,31.6,24.5
2020/9/18,27.6,31.6,23.4
2020/9/19,25.0,28.9,22.5
2020/9/20,23.5,27.3,21.4
2020/9/21,23.6,28.8,20.4
2020/9/22,22.9,29.1,18.8
2020/9/23,25.4,30.1,21.0
2020/9/24,25.1,28.5,22.8
2020/9/25,21.6,22.9,20.4
2020/9/26,23.0,25.0,20.9
2020/9/27,22.4,26.0,19.5
2020/9/28,21.7,26.7,17.9
2020/9/29,22.3,28.4,18.1
2020/9/30,22.3,26.3,18.3
2020/10/1,21.9,27.7,17.7
2020/10/2,22.6,27.8,17.1
2020/10/3,23.6,27.3,19.6
2020/10/4,24.1,27.4,21.7
2020/10/5,22.5,26.4,17.2
2020/10/6,19.5,24.7,16.0
2020/10/7,19.4,24.3,15.6
2020/10/8,16.0,16.9,15.1
2020/10/9,18.4,20.1,16.7
2020/10/10,20.7,24.3,18.1
2020/10/11,22.3,25.9,19.4
2020/10/12,22.7,27.6,18.5
2020/10/13,22.1,26.5,18.3
2020/10/14,20.8,25.8,16.6
2020/10/15,19.2,23.1,16.5
2020/10/16,18.8,23.1,16.1
2020/10/17,13.1,17.7,11.9
2020/10/18,15.2,20.9,10.8
2020/10/19,15.1,16.8,13.9
2020/10/20,17.2,23.7,12.0
2020/10/21,18.7,25.1,13.3
2020/10/22,19.6,22.4,17.6
2020/10/23,17.9,19.8,14.6
2020/10/24,16.5,19.8,13.7
2020/10/25,15.1,19.3,10.2
2020/10/26,16.1,21.7,11.3
2020/10/27,16.5,22.5,11.4
2020/10/28,16.9,21.4,11.8
2020/10/29,16.8,22.0,13.8
2020/10/30,14.6,18.7,12.0
2020/10/31,14.5,20.1,9.4
2020/11/1,16.8,22.4,11.6
2020/11/2,16.4,17.7,14.7
2020/11/3,15.3,19.4,11.0
2020/11/4,12.8,17.0,9.8
2020/11/5,13.0,18.3,7.9
2020/11/6,15.6,20.6,11.5
2020/11/7,16.7,18.5,14.1
2020/11/8,17.6,21.2,14.7
2020/11/9,13.7,17.6,11.1
2020/11/10,12.5,16.5,9.8
2020/11/11,11.0,14.8,8.2
2020/11/12,12.9,19.2,7.9
2020/11/13,14.8,17.5,11.9
2020/11/14,14.3,20.1,10.3
2020/11/15,15.3,21.9,9.4
2020/11/16,17.0,22.0,12.7
2020/11/17,17.1,22.7,12.3
2020/11/18,18.7,24.2,14.1
2020/11/19,20.5,26.6,15.1
2020/11/20,19.9,23.3,16.6
2020/11/21,14.3,16.9,10.5
2020/11/22,14.5,18.9,9.0
2020/11/23,14.4,17.6,10.7
2020/11/24,12.4,16.8,8.8
2020/11/25,12.1,15.1,9.8
2020/11/26,13.3,18.6,8.1
