年月日,平均気温(℃),最高気温(℃),最低気温(℃)
2024/7/31,31.3,34.9,28.3
2024/8/1,31.9,37.3,27
2024/8/2,32.2,37.8,28.5
2024/8/3,32,37.8,28.5
2024/8/4,31.7,38.3,29
2024/8/5,31,35.3,28.7
2024/8/6,30.5,36.7,25.6
2024/8/7,30.3,35.9,26.3
2024/8/8,30.7,36.1,25.3
2024/8/9,31.3,37,26.9
2024/8/10,30,34.8,27.1
2024/8/11,30,35.1,26.1
2024/8/12,30.5,35.8,26.4
2024/8/13,31.4,37.6,27
2024/8/14,31.8,38.1,28.1
2024/8/15,30.9,37.6,27
2024/8/16,29.8,33.7,27.6
2024/8/17,29.9,33.5,27.3
2024/8/18,31,37.1,26.4
2024/8/19,28.7,31.2,26.1
2024/8/20,27.7,32.8,23.8
2024/8/21,30.9,34.9,27.3
2024/8/22,31.3,35.9,28.2
2024/8/23,31.7,35.5,28.6
2024/8/24,31.5,36,28.8
2024/8/25,30.3,35.9,26.2
2024/8/26,30.6,36.1,27.2
2024/8/27,30.2,35.8,27.6
2024/8/28,28.9,33.3,26.5
2024/8/29,26.6,29,24.7
2024/8/30,30.2,36.2,26.1
2024/8/31,26.5,28.7,25.4
2024/9/1,27,30.8,25.1
2024/9/2,29.3,34.4,25.1
2024/9/3,27.9,31,25.6
2024/9/4,28.7,34.1,23.9
2024/9/5,28.6,32.9,24.8
2024/9/6,29.8,34.4,25.8
2024/9/7,30.1,34.5,26
2024/9/8,30.4,35.4,26.7
2024/9/9,30.7,36.1,26.6
2024/9/10,29.2,35.4,26.8
2024/9/11,30,35.3,26
2024/9/12,30,35.8,27.1
2024/9/13,29.9,33.8,27.1
2024/9/14,30.3,34.8,26.8
2024/9/15,29.8,33.6,27.6
2024/9/16,30.3,35.5,27.4
2024/9/17,29.9,34.5,25.2
2024/9/18,30.4,34,27.9
2024/9/19,30.7,34,28.8
2024/9/20,30.8,34.7,28.2
2024/9/21,30.2,34.3,28.8
2024/9/22,26.1,29.7,23.1
2024/9/23,24.5,28.8,21.6
2024/9/24,25.3,30.6,21.8
2024/9/25,25.7,30.5,21.8
2024/9/26,27,32.3,22.9
2024/9/27,27.1,30.6,24.2
2024/9/28,26.5,29.6,24.9
2024/9/29,25.4,27.1,24.1
2024/9/30,26,30.6,23.2
2024/10/1,26.2,30.7,22
2024/10/2,26.2,31.7,22.6
2024/10/3,22.3,24.2,21.2
2024/10/4,22.4,24.4,20.7
2024/10/5,23.1,27.9,20.8
2024/10/6,24.8,30.8,19.4
2024/10/7,24.4,30.4,20.6
2024/10/8,20.6,24.9,17
2024/10/9,20.9,26.1,17.2
2024/10/10,21.8,27.6,18.6
2024/10/11,21.1,26.3,17.3
2024/10/12,21.6,27.6,16.6
2024/10/13,22.3,28.4,17.4
2024/10/14,23.7,29.6,19.3
2024/10/15,23.7,27.5,20.6
2024/10/16,24,27.4,21.1
2024/10/17,24.5,29,20.5
2024/10/18,25,28.8,22.6
2024/10/19,23.4,28.6,18.5
2024/10/20,18,21.8,15.9
2024/10/21,20.5,25.7,16
2024/10/22,21.9,25.5,18.5
2024/10/23,24.1,29.5,20
2024/10/24,21.4,23.8,19.3
2024/10/25,21,25.7,18.7
2024/10/26,20.5,22.7,18.8
2024/10/27,22.4,27,18.4
2024/10/28,19,22.1,16.9
2024/10/29,17.6,18.9,16.5
2024/10/30,18.7,23,15.9
2024/10/31,17.9,21.8,13.8
2024/11/1,19.7,23,18.1
2024/11/2,19.3,20.7,18.2
2024/11/3,18.8,23.3,14.9
2024/11/4,18.5,24.2,13
2024/11/5,18.5,22.4,15.7
2024/11/6,16.9,21.2,14.2
2024/11/7,13.5,17.2,10.7
2024/11/8,12.9,17.8,9.7
2024/11/9,14.7,21.5,9.3
2024/11/10,17.3,24.4,12.2
2024/11/11,18.6,23.5,15.1
2024/11/12,17.4,22.5,13.2
2024/11/13,17.1,21.9,13.9
2024/11/14,16.7,22,11.9
2024/11/15,18.4,20.7,16.5
2024/11/16,17.9,19.9,16.4
2024/11/17,19.3,23.7,16.5
2024/11/18,14,17.7,8.7
2024/11/19,9.6,13.5,7.1
2024/11/20,11.8,16.4,8.1
2024/11/21,13.2,18.1,8.7
2024/11/22,13.9,18.5,9.5
2024/11/23,11.2,15,8.3
2024/11/24,9.6,11.8,6.9
2024/11/25,11.7,16.5,7.8
2024/11/26,15,20.1,10.8
2024/11/27,13.7,16,11.6
2024/11/28,11.5,14.5,9.8
2024/11/29,10.9,14.3,8.2
2024/11/30,11.1,14.4,8.4
2024/12/1,11.4,15.4,7.3
2024/12/2,12.1,17.8,7.5
2024/12/3,13.8,19,9.3
2024/12/4,12.2,15.3,9.3
2024/12/5,10.7,13.3,8
2024/12/6,11.7,14.7,9.3
2024/12/7,10.4,13.5,8.9
2024/12/8,8.4,10.9,6
2024/12/9,8.4,12.4,5.2
2024/12/10,9.4,14,4.9
2024/12/11,9.5,14.4,6.1
2024/12/12,7.5,11.9,4.9
2024/12/13,8.4,12.6,4.4
2024/12/14,6.9,9.1,5.3
2024/12/15,7.9,10.7,5.5
2024/12/16,8.6,12.3,5
2024/12/17,8.6,12.6,4.1
2024/12/18,8,11.7,5.1
2024/12/19,5.3,8,3.5
2024/12/20,6,9.6,2.2
2024/12/21,7.1,12.5,3.2
2024/12/22,6.6,9.5,4.5
2024/12/23,7.4,10.8,4.5
2024/12/24,7.5,11.5,5.1
2024/12/25,7.6,12.3,3.3
2024/12/26,9.9,13.7,7.3
2024/12/27,8.4,11.5,6
2024/12/28,6.3,9.4,4.6
2024/12/29,6.9,10,4.2
2024/12/30,6.9,10.9,3
2024/12/31,8.1,13.7,5.8
2025/1/1,7.7,11.1,5.3
2025/1/2,7.9,11.6,2.8
2025/1/3,8,12,4.8
2025/1/4,6.5,9.9,3.6
2025/1/5,6.4,10.2,2.2
2025/1/6,6.4,7.9,5.1
2025/1/7,6.6,9.6,3.9
2025/1/8,5.5,8.5,3.3
2025/1/9,3.9,8.1,1.2
2025/1/10,3.1,6.4,-0.4
2025/1/11,4.7,8.8,1
2025/1/12,5.9,9,3.2
2025/1/13,6.7,9.9,2.9
2025/1/14,7.9,10.1,3.3
2025/1/15,7.5,10.7,3.6
2025/1/16,5.3,8.9,1.5
2025/1/17,6,10.5,3.8
2025/1/18,6.3,10.5,2.8
2025/1/19,8.6,14.2,3.4
2025/1/20,9.6,13.5,7.1
2025/1/21,8.8,13.1,5.5
2025/1/22,7.7,12.1,3.4
2025/1/23,8.8,14.6,4.6
2025/1/24,9.2,14.6,5.4
2025/1/25,7.3,12,4.9
2025/1/26,6.6,11.6,3
2025/1/27,6.3,9.2,3.4
2025/1/28,7.1,9.4,3.5
2025/1/29,5.6,9,2.2
2025/1/30,5.2,7.9,3.2
2025/1/31,6.6,9.9,4.1
2025/2/1,6.4,10,3.5
2025/2/2,7.8,11.6,4.9
2025/2/3,8.5,11.3,4.3
2025/2/4,3.4,6.5,1
2025/2/5,1.7,5.9,-0.4
2025/2/6,2.3,5.1,0
2025/2/7,2.8,6.5,-0.2
2025/2/8,1.7,6.2,-2
2025/2/9,3.7,7.9,0.1
2025/2/10,4.9,9,0.4
2025/2/11,4.9,9.1,2.2
2025/2/12,4.1,7,0.4
2025/2/13,6.6,8.6,3.8
2025/2/14,5.6,10.6,0.5
2025/2/15,7.8,13.5,2
2025/2/16,9,12.6,6.2
2025/2/17,7.7,12.4,3
2025/2/18,3.8,7,1.6
2025/2/19,2.9,7,0.6
2025/2/20,3.7,7.6,1.2
2025/2/21,4.4,8.6,2.3
2025/2/22,4,7.5,1.6
2025/2/23,4,8,0.5
2025/2/24,3.5,6.7,1.3
2025/2/25,6.2,10.5,1.8
2025/2/26,9,13.6,5.5
2025/2/27,9.2,13.8,4.2
2025/2/28,10.1,13.8,8.1
2025/3/1,12,18.2,7
2025/3/2,13.8,15.5,12.1
2025/3/3,7.9,12.2,5.7
2025/3/4,6.4,8.7,3.7
2025/3/5,9.8,11.2,8.2
2025/3/6,7.8,11.7,4.7
2025/3/7,5.8,9.8,3.8
2025/3/8,6.1,10.7,2.3
2025/3/9,7.7,13.6,2.6
2025/3/10,9.6,16.1,3.2
2025/3/11,10,11.9,7.8
2025/3/12,13.7,17.3,9.8
2025/3/13,13.6,18.1,9.1
2025/3/14,11.5,18.6,7.3
2025/3/15,7.4,9.4,6.2
2025/3/16,9.4,12.6,7.3
2025/3/17,6.9,10.6,4.9
2025/3/18,6.6,13.6,2.7
2025/3/19,5.4,9.1,3.2
2025/3/20,6.8,12.1,1.1
2025/3/21,11.4,16.4,4.9
2025/3/22,15.6,20.6,9.1
2025/3/23,17.3,21.8,14
2025/3/24,15.8,22.2,12
2025/3/25,17.9,23.8,12.5
2025/3/26,19.1,24,15.1
2025/3/27,19.4,26.1,13.5
2025/3/28,15.6,18.7,9.2
2025/3/29,10.4,14.9,7.7
2025/3/30,8.7,12.5,4.7
2025/3/31,8,12.8,4.1
2025/4/1,11.1,16,7.2
2025/4/2,13,16.1,10.5
2025/4/3,12.1,17,9.4
2025/4/4,11.1,16.4,8.2
2025/4/5,12.3,17.5,6.1
2025/4/6,15.6,21.3,11.7
2025/4/7,14.6,18.7,10.2
2025/4/8,15.8,21.9,9.6
2025/4/9,15.9,21.2,11
